rep,modularity,n_communities,avg_clustering,components
53,0.32865081049004663,6,0.07401611333412018,1
54,0.33351256439214993,7,0.08498682026804819,1
55,0.30745630441907457,7,0.08228776399256282,1
56,0.34672943964046077,8,0.09702982972206356,1
57,0.34080948532930255,5,0.09907812656052792,1
58,0.3233621704560442,8,0.08256656999203225,1
59,0.3425042314977721,6,0.10070350964149599,1
60,0.3156462707406462,7,0.09157652688798579,1
61,0.33481091864248813,6,0.09321400767022335,1
62,0.31028168854909327,6,0.09394239142333852,1
63,0.3416244134789635,6,0.10160417473261316,1
64,0.3370385514144722,6,0.0862829695986378,1
65,0.3149768518947286,7,0.09635361881476052,1
66,0.34444667628030645,5,0.08197393914054146,1
67,0.3550665930812053,7,0.08420107698923596,1
68,0.3655954151249032,8,0.0866687305541772,1
69,0.3290652004983787,7,0.08597944764315635,1
70,0.3463325325140878,6,0.09452309641354457,1
71,0.3307108711494291,7,0.08460828146498875,1
72,0.3528635189334154,7,0.0927442066133907,1
73,0.3729532082153916,7,0.10068783974170616,1
74,0.31205171820204003,7,0.08393191848961522,1
75,0.30907845089832603,6,0.0798218844262871,1
76,0.370959482939542,6,0.09429134412990592,1
77,0.3695434441304053,6,0.09675629095684339,1
78,0.33197087239113376,6,0.09919496687591918,1
79,0.3313453934525791,7,0.08866830594089004,1
80,0.3303307213345909,6,0.08355782047333163,1
81,0.33664047982932094,7,0.08802608131590657,1
82,0.3293616922068048,6,0.1000580424131537,1
83,0.3493321216635615,7,0.07811500617270435,1
84,0.3306775083036038,5,0.07797609319605822,1
85,0.33846977039288967,6,0.09322361288057902,1
86,0.3447650045380681,6,0.09020656092666103,1
87,0.33588698889458646,6,0.09159109545243307,1
88,0.32269409163523965,7,0.08420758868524426,1
89,0.32175440979042247,7,0.0790338194815148,1
90,0.3631880856147438,5,0.09669377780630953,1
91,0.33226421239786436,5,0.09607638459359244,1
92,0.3341071509406122,6,0.07801342419820191,1
93,0.32232223113023645,6,0.09220679403164993,1
94,0.3110530200636482,7,0.094866273311589,1
95,0.3508257286704122,7,0.08924941432087521,1
96,0.2914998636593366,7,0.089572216466594,1
97,0.318071317782537,5,0.09280274214446473,1
98,0.3381455658038959,6,0.0944199299962455,1
99,0.32088634802343824,8,0.09345143227675487,1
100,0.33344152056801,6,0.10044095825396755,1
101,0.3507368713015825,7,0.08851541508754836,1
102,0.3438075715110567,5,0.07920243249714973,1
103,0.32453719550944365,7,0.08199021281894348,1
104,0.3499698107396734,6,0.09124845510728122,1
105,0.35057807889871034,6,0.10136152246156196,1
106,0.3437712237790619,6,0.09187251086085521,1
107,0.33962600143737615,6,0.10480096362130466,1
108,0.331120502484093,7,0.09395447262131626,1
109,0.3307982227269299,7,0.07665027985380969,1
110,0.31994612851781035,7,0.08143552215296768,1
111,0.34965545879766136,7,0.09798947001082767,1
112,0.3130330326873583,7,0.08394991918717545,1
113,0.3118662144503654,6,0.09675401160609201,1
114,0.3355486880707268,4,0.09122940015952659,1
115,0.32578241501433836,7,0.08157604303510237,1
116,0.3591727560453487,7,0.09313093656722687,1
117,0.32606218190235975,6,0.0949159322774509,1
118,0.32649697055140486,7,0.0765125672913065,1
119,0.31946332544115513,7,0.09129026411632442,1
120,0.3393554091924829,6,0.07893482988836953,1
121,0.3337609068241754,7,0.09828377791997567,1
122,0.3388037822607232,7,0.0987091234415894,1
123,0.3615458215052862,6,0.10243949679447958,1
124,0.32965909404349886,7,0.0886484221149781,1
125,0.3439474115142075,8,0.07863875177534023,1
126,0.35922689712285355,6,0.08862222971272368,1
127,0.35203412007692536,7,0.08926783174854826,1
128,0.32444438307612505,7,0.07945522391403242,1
129,0.34076898261831856,6,0.09785318835284956,1
130,0.3372431366251872,7,0.0841356695337547,1
131,0.3334719973455174,7,0.09685557592943886,1
132,0.34683575084469376,7,0.0906411173189197,1
133,0.34751070281927765,7,0.08976786796649398,1
134,0.364813902547984,7,0.10167812848478411,1
135,0.3233252441506161,7,0.09440930458413978,1
136,0.34944855558120574,7,0.09755387329698138,1
137,0.32711639173134205,7,0.08738651901888109,1
138,0.3402777805502437,6,0.10103426001284867,1
139,0.3337717935075765,7,0.08573821912221219,1
140,0.3127749588348172,7,0.07818365786303935,1
141,0.35043771848063254,6,0.10121885862119406,1
142,0.3394806813831538,6,0.09837999306232738,1
143,0.3489605144443299,7,0.0862648337723297,1
144,0.31687873104856457,6,0.07982999300266903,1
145,0.3668361517466099,6,0.0920893750509688,1
146,0.3523805765429496,7,0.09872028452788606,1
147,0.3517995018311899,6,0.09219623301930142,1
148,0.32665647229387407,6,0.09107027894384963,1
149,0.3371428109372475,7,0.1083077803561372,1
150,0.3273414443316142,8,0.08029080561835081,1
151,0.321959708396711,4,0.09172976888954533,1
152,0.3201178176978958,6,0.07164981055845063,1
153,0.34265102036411405,8,0.10787841021968521,1
154,0.32480595724948325,7,0.0950979186017669,1
155,0.3611720535688595,8,0.09963044720045605,1
156,0.347345775541369,7,0.09091397371236865,1
157,0.3714789641652134,6,0.09995150151417569,1
158,0.3432002300583821,7,0.09125134701555694,1
159,0.33220790852457105,8,0.07580116576831504,1
160,0.35068642003761097,6,0.09509828949088672,1
161,0.3418479696764204,7,0.08439084411550567,1
162,0.3400124159841509,7,0.0904985962386227,1
163,0.3349647704373316,7,0.08777648333616068,1
164,0.33313329576135525,8,0.08921704595487114,1
165,0.3470248942759774,6,0.08933063591326178,1
166,0.3537986296276633,7,0.0783255015099538,1
167,0.3351745718563319,7,0.09281575757425899,1
168,0.3666568378924521,7,0.11041797924098944,1
169,0.3202418370764408,5,0.09035126768065373,1
170,0.32545827259743243,7,0.10239845996526663,1
171,0.33437581931365695,6,0.08526888997335998,1
172,0.36022185849536426,7,0.10297073953076527,1
173,0.3226905571416765,6,0.08841298685018228,1
174,0.3638372877965135,7,0.08550547194301385,1
175,0.3284121849985999,5,0.08719638160754943,1
176,0.34007144333114125,6,0.08670114836716976,1
177,0.34817277902845845,7,0.09307768280148387,1
178,0.3314764191287848,6,0.07695653383473712,1
179,0.33336436257495344,7,0.08985910331077857,1
180,0.3291551767384387,8,0.09665725053890271,1
181,0.3239334060593814,8,0.09115312306585854,1
182,0.3773757646338304,6,0.1035865302965139,1
183,0.3089004607263256,7,0.08492745537929984,1
184,0.35144110955797253,6,0.09479926948133964,1
185,0.33568482495869517,7,0.10145023743016433,1
186,0.3412912193702543,6,0.08740549861748725,1
187,0.3266951987131148,6,0.0912997796133975,1
188,0.339731278132954,6,0.0978513206897248,1
189,0.3463539807481821,7,0.10473681804432493,1
190,0.31881323030849373,6,0.08824903845414273,1
191,0.3255223318721974,5,0.08567964723931641,1
192,0.3431983757198608,7,0.08919037745723868,1
193,0.32545146187809787,6,0.0861627024888664,1
194,0.33060397799232544,7,0.08555845940490424,1
195,0.31366048352546394,6,0.08514981900270853,1
196,0.3413953688446534,6,0.09019214216564904,1
197,0.35116572238031374,7,0.09710032351199169,1
198,0.33820872708771776,7,0.08823273961719717,1
199,0.34159009011804664,5,0.09752480109771917,1
