respondent,community,within_module_strength,within_module_z,participation_coefficient
11,0,1.0983273647538971,-0.6908328031799309,0.6699177660602588
12,0,1.3354819383602459,-0.011607547355791366,0.7428711570792563
13,3,1.4029249222860805,-0.11212463949958403,0.6732406779841527
14,1,1.5186947433814801,-0.11957738907478686,0.567379821144927
16,2,1.785630537982835,0.12647683952348074,0.49346612293535663
17,1,1.1987754783903308,-0.6708531247678545,0.5832488555278625
18,6,0.7261557495626592,-1.2716233364211031,0.7701004603858062
19,0,1.2433154503882151,-0.27557802626853367,0.7408402284054132
20,3,0.7486957591279735,-1.4237420543923602,0.7505887048049091
21,4,1.1834374406653128,0.7589207623830578,0.781380005372527
22,2,1.1456660460345078,-0.808660514403312,0.560009256750077
24,0,1.6097227076018832,0.7738348491916618,0.5665974902239367
26,6,1.3550704005841439,-0.009720933362823526,0.4582584401627191
29,6,1.6344173308552057,0.5507820888254199,0.65899676376707
31,4,1.0971154407250967,0.37318011537205537,0.6347463910446922
32,2,2.3207588634823595,0.9084241078717787,0.4086292953591598
35,5,1.1025842100950094,-0.8833044569645192,0.7057957400597163
36,1,0.9362705469127234,-1.123194121573345,0.6795819253478501
37,2,1.2626028473983224,-0.637788579507196,0.6796929241545531
38,3,1.049161546256925,-0.8213596153775501,0.6668794348672636
40,1,2.3861130193480355,1.375132997466969,0.4850582134061151
41,2,1.4551420468412997,-0.356443911545795,0.7031551031756528
42,1,1.3479407212401742,-0.4138158407075856,0.712243446915714
43,6,0.778292993699859,-1.1670111866505277,0.6718222108146819
45,4,1.3263123135978123,1.397374991487648,0.5943249290267407
46,4,0.9987750516143217,-0.06626620595015599,0.633428330099226
48,6,1.1128465452819685,-0.4957373818386187,0.6821509096273146
49,5,1.7474582520273185,0.21349211326437154,0.6493803116550264
50,2,2.997556808212799,1.897383725383522,0.2286710085892405
52,2,1.3576995620559622,-0.4988301041059437,0.6161759752061209
53,2,1.9445831253992172,0.358743635363733,0.4710552347459528
54,5,0.7846169557319966,-1.4241005990847144,0.7514603888309052
55,0,0.9342841998377079,-1.160662496792963,0.6994574228089264
56,6,1.753463069304063,0.7896445531971212,0.47244136800392245
57,2,2.0979265792960877,0.5828141791567987,0.6644426251205255
58,6,1.1081048172165493,-0.5052515472832984,0.7060977245380009
59,6,0.7160526651398169,-1.291894936853337,0.7480689613871274
61,5,1.6188572719574585,-0.005231396595096428,0.7170507021553332
62,6,1.485825260561716,0.2526356069868947,0.6820046546279908
63,4,0.7741583604557395,-1.0699939675519354,0.5969821358050756
64,5,0.7242873349710544,-1.5267087315744956,0.7715485026994138
65,4,1.0216203177689598,0.03582072152756485,0.6601640348592148
66,2,1.3243608201425887,-0.5475457801916689,0.6559762855090856
67,0,1.293394830599147,-0.13214760737327721,0.6456236763558469
69,4,0.9154099718287118,-0.43879348563431714,0.5747058269116034
70,4,0.616379278115335,-1.7750495194267861,0.7925487087664669
72,3,1.3257565463726917,-0.2668340157040996,0.7200759180561457
74,2,1.180796326692216,-0.757326982449156,0.6326902392011493
79,6,2.5764005919195134,2.4408492686041865,0.3475129254137982
80,6,0.8830703027911344,-0.9567779890083509,0.725771295957683
81,5,1.6400563243205064,0.030823780713985224,0.7181458044085871
82,1,1.914180942357329,0.5619131279245495,0.5684752641046771
83,2,1.7161363792130793,0.02492966844923772,0.46638666265635487
84,2,0.631203263995111,-1.560410604827052,0.7357831735984484
85,0,1.434706111546827,0.272576575226064,0.5391203616047298
86,5,2.380250009864209,1.2897392321357877,0.4067676747405474
89,6,1.4256795979611068,0.13195475459147415,0.5116959421179446
90,2,3.1057513414406284,2.0554811679525486,0.542655651981605
91,1,2.710791598120803,1.9346098466704353,0.36626007063309396
92,0,1.5659038116507624,0.6483348414973781,0.5924430333349789
93,2,1.425058163479454,-0.4004034802981036,0.6981141752030839
94,3,2.242977445865241,1.5720367849656438,0.5352589048755465
95,2,2.7022008399090054,1.4657997826162783,0.5610889423175185
97,5,1.5552467273972272,-0.11341969782521025,0.6130037028925034
99,2,1.2141807544853218,-0.7085445486398035,0.49326664256581454
101,4,1.047531986817516,0.15161025363812022,0.7548752849216688
102,6,2.3536005036502137,1.993806150222418,0.4204791214140611
103,2,0.9161078283554196,-1.1440986003493465,0.6779186319574944
104,5,2.52483967161438,1.535656162863772,0.5947444662934903
105,3,1.3364920426094389,-0.2453111845394629,0.7072986023672057
106,4,0.783602722994785,-1.0277906529978131,0.7521393039026295
108,1,1.7356250597042542,0.2542307331971732,0.6579368471866518
109,1,0.4648393740772903,-1.9355508473888068,0.7860702637482084
110,3,2.1059572316895085,1.2973347245474103,0.7169467011851145
111,1,1.6512320602628454,0.1088071281020116,0.6277151120403105
113,6,1.6687588049951616,0.6196874461284949,0.5335454571478762
114,5,2.141134554016322,0.8830535930661202,0.4779203498923068
115,6,1.1791543633208965,-0.36269231000101576,0.5635164704183387
116,6,1.5310802231568386,0.34343862128516855,0.4532943677607758
117,6,1.5638480683555787,0.4091865292599174,0.3641707833453176
118,6,1.1107490589029958,-0.49994593875124377,0.7039604993665987
119,1,1.8320881763846373,0.42045321941317404,0.501843020315254
120,6,0.8758180520576924,-0.971329458930776,0.6403954425868108
121,0,2.0849875069881243,2.1350224073247857,0.4162625255230419
123,4,1.3853040606443132,1.6609869871525587,0.6368539516139073
125,1,1.3605106322387175,-0.39215572926193676,0.4215371864483717
126,0,0.7952237390587198,-1.5589401922693888,0.7055099925691586
