source,target,rho,p_value,n,q_value,fdr_significant
S14,V15,0.3819985347689618,0.00039809357742631875,82,0.004962152338342142,True
S09,V07,0.37901412280393504,0.0004102262474565952,83,0.005077625580406808,True
V13,V15,0.3740054600101313,0.00042191325076733994,85,0.005186017040681886,True
E11,S09,0.373347692207762,0.0004327007256768838,85,0.005281932996193685,True
S15,V03,0.3731059907332063,0.0004367277547348246,85,0.005294576204661915,True
E10,V07,0.3727626097971164,0.0004425079565354673,85,0.005328157027671953,True
E07,E15,0.3682920928338234,0.00044855574794837387,87,0.005334907085907034,True
S15,V06,0.37643309417390397,0.00045249413323073456,83,0.005334907085907034,True
E11,S07,0.3698334418321222,0.000457234085834775,86,0.005334907085907034,True
V10,V15,0.37189909895852247,0.0004573547551033673,85,0.005334907085907034,True
S07,V14,0.37396167484180654,0.00045813891359201646,84,0.005334907085907034,True
S04,S12,0.36889676362642393,0.0004739289399630469,86,0.005482707344670542,True
S09,V12,0.3762078774995304,0.0004952645309754543,82,0.005692326102769832,True
S06,V14,0.369491964463208,0.0005011834804952224,85,0.005723192003074475,True
S01,S15,0.3686303697031115,0.0005177830935685554,85,0.005874846638566302,True
T06,S07,0.36605205479533015,0.0005281133253662847,86,0.005953889082154929,True
T07,V01,0.36582282829213936,0.0005754253779694132,85,0.006446221006366212,True
S14,V08,0.37069697719050304,0.0006074284639620695,82,0.006758424586290971,True
S13,V14,0.3642189217730986,0.0006109310360489014,85,0.006758424586290971,True
V04,V07,0.36396502940822456,0.0006167314532022253,85,0.006780215355080366,True
V04,V09,0.3634151142296322,0.0006294676478104218,85,0.006877516892743497,True
V08,V15,0.3626442623537984,0.0006477253235172973,85,0.007011247522440925,True
S06,V01,0.3625650040225732,0.0006496297139436789,85,0.007011247522440925,True
E15,S11,0.3582006769191177,0.0006579496985173854,87,0.007058005856822862,True
S03,S14,0.3638767551168379,0.0006678529340303601,84,0.007121082489359865,True
V01,V14,0.36359363060561184,0.0006748387943594746,84,0.007152483030037544,True
V03,V14,0.36041191240747744,0.0007033599228674367,85,0.007384009804429887,True
S14,V14,0.3666124317364691,0.0007050269248297463,82,0.007384009804429887,True
S14,V10,0.3663340933390453,0.0007121715557522896,82,0.007414962668715015,True
S02,S09,0.3596370099721002,0.0007236688860406781,85,0.007471260072253249,True
S04,V05,0.3575341947984625,0.0007260207527839315,86,0.007471260072253249,True
T11,T12,0.35338317705019184,0.0007320282743686462,88,0.007489537836026033,True
S04,S09,0.3589234005278962,0.000742842974070957,85,0.0075565061155493905,True
S03,S12,0.35558288518253545,0.0007799759318177968,86,0.007861241638945408,True
T06,E14,0.35355172631971227,0.0007816827844375094,87,0.007861241638945408,True
E11,E12,0.3533041321005221,0.0007888322726236605,87,0.007888322726236605,True
S13,V04,0.3545279706371498,0.0008106436828336399,86,0.008060895048401925,True
V04,V13,0.35616012006847936,0.0008215393703851152,85,0.008123601595428234,True
S11,S13,0.35150470961051944,0.0008426093941853414,87,0.008240939323801908,True
S06,V13,0.3554372551798782,0.0008433424731620178,85,0.008240939323801908,True
S11,V15,0.355305479257628,0.0008473734219954505,85,0.008240939323801908,True
V02,V11,0.3589666405195846,0.0008605273654944394,83,0.008323133535110152,True
E12,V15,0.3545395282794318,0.000871152734555768,85,0.008380110544367986,True
S11,V08,0.3534431343391325,0.0009062485011531103,85,0.008670593767789218,True
S06,V12,0.3550423801047298,0.0009199588335055056,84,0.008754446964004006,True
S02,S06,0.34837598371438544,0.000944123313821151,87,0.008916405796249102,True
T11,S05,0.3521306231631898,0.0009499513456610748,85,0.008916405796249102,True
E14,S11,0.3481435756000787,0.0009520907884130398,87,0.008916405796249102,True
S06,V04,0.34985288874714376,0.0009602164759883752,86,0.008945174539470652,True
E10,S14,0.35302109106541796,0.000988637398569502,84,0.009161718300879678,True
V06,V10,0.3524553026219633,0.0010086789640401145,84,0.009298759199744806,True
E03,E11,-0.34606869899633597,0.0010259800537364802,87,0.009409247124940777,True
V09,V10,0.34930076024479983,0.0010507662722758675,85,0.009586888154269512,True
E10,V15,0.3489368465249139,0.0010644128716554868,85,0.00962849205909701,True
E12,V03,0.34692611528240114,0.0010662059003293863,86,0.00962849205909701,True
S12,S14,0.3485149587018093,0.0011588089668001073,84,0.010411633864143096,True
S07,S11,0.34330080967860993,0.0012121791799824,86,0.010833860780235707,True
S06,V05,0.34305399775783124,0.0012227472155358127,86,0.010833860780235707,True
E07,V14,0.3449652319024953,0.001224165059913639,85,0.010833860780235707,True
S07,V05,0.34275207440395405,0.0013223346239352543,85,0.011644439225698508,True
E10,V14,0.3426060606060607,0.001329055522429686,85,0.011645684528220516,True
S07,V15,0.344362918632944,0.0013386840728809074,84,0.01167226999506998,True
S07,V01,0.3438648097620527,0.0013618810584736115,84,0.011816320948521041,True
E07,S14,0.34321351327689353,0.0013927608509825607,84,0.012025301006044549,True
V02,V12,0.3443922403504009,0.001432072923869242,83,0.01230470424877941,True
E08,V09,0.3429605536541243,0.0015036086872373007,83,0.012856943847391411,True
T05,S11,0.33471949922137156,0.0015305192174249257,87,0.013024129879048645,True
S03,V01,0.3382598041865308,0.001543835313680547,85,0.013074586149352,True
