layer_a,layer_b,nmi
Main,T,0.18677594495567565
Main,E,0.37116557912008313
Main,S,0.25498610975894287
Main,V,0.18139964018381688
T,E,0.061887639045231084
T,S,0.09102466333792007
T,V,0.06759760539548039
E,S,0.07655251511325768
E,V,0.0465827890943285
S,V,0.11953466258458655
