layer_a,layer_b,mantel_r,p_value,n_common
Main,T,0.5458636850970682,0.0,85
Main,E,0.6233073793168976,0.0,85
Main,S,0.3154757441331494,0.0,85
Main,V,0.22189592702090538,0.0,85
T,E,0.03498945649964683,0.04804804804804805,85
T,S,0.00650971378615698,0.7167167167167167,85
T,V,0.011345455505894159,0.5015015015015015,85
E,S,0.02083398557834953,0.2032032032032032,85
E,V,-0.0034006210051395445,0.8278278278278278,85
S,V,0.051867965977347566,0.01001001001001001,85
