respondent,degree,strength,betweenness,closeness,eigenvector,clustering,intensity,distance_to_class_mean,n_answered,T_mean,E_mean,S_mean,V_mean
11,9,2.2949561355687798,0.006566347469220246,0.6010453044475479,0.05430491473672908,0.12460896313284854,0.7666666666666667,5.837590101023303,60.0,0.8,0.8,0.9333333333333333,0.5333333333333333
12,13,3.3654906374876856,0.02188782489740082,0.6405060183483763,0.09221455203425905,0.09154267658315278,0.711864406779661,5.464703385156415,59.0,0.5333333333333333,0.9333333333333333,0.5714285714285714,0.8
13,11,3.070184704921795,0.018331053351573187,0.6524924879206128,0.12965417033993737,0.13955611448368668,1.25,5.7357717511345045,60.0,0.9333333333333333,1.0666666666666667,1.3333333333333333,1.6666666666666667
14,10,2.9049969008364043,0.017236662106703146,0.621489369301734,0.07432927312357285,0.12499902025764109,0.9333333333333333,4.9654930196025315,60.0,0.8,0.6,1.1333333333333333,1.2
16,11,2.5705335516153243,0.007113543091655267,0.6451348457687299,0.11755805872250871,0.08781750493571953,1.1,6.0634135871417705,60.0,1.2,0.6666666666666666,1.2666666666666666,1.2666666666666666
17,9,2.450773467816061,0.014774281805745554,0.6011377245048662,0.05708429706132519,0.11617723911098603,0.9833333333333333,7.235532559817104,60.0,1.2666666666666666,0.3333333333333333,1.0,1.3333333333333333
18,12,3.0493058144204808,0.014500683994528044,0.6616362117572505,0.11569859658281369,0.08716375598037603,0.9,5.169127151399936,60.0,0.26666666666666666,0.7333333333333333,1.2666666666666666,1.3333333333333333
19,11,2.9245624530059438,0.019425444596443228,0.6460695453380231,0.07706528396757527,0.07703291912459444,1.1864406779661016,6.25338785669088,59.0,0.7142857142857143,1.2,1.0,1.8
20,9,1.9635559466270829,0.005745554035567715,0.6231845568693707,0.10542761434636648,0.09391809531920634,1.3333333333333333,5.919306883536438,60.0,1.0,0.9333333333333333,1.5333333333333334,1.8666666666666667
21,12,3.348390675069774,0.027086183310533515,0.6769702108630586,0.13617975491330842,0.08800623677837786,1.5833333333333333,6.193769199934712,60.0,0.8666666666666667,1.5333333333333334,1.9333333333333333,2.0
22,9,2.04807810919109,0.003283173734610123,0.6244373385513873,0.0909879419338045,0.09340862296658378,0.7333333333333333,7.679683437886026,60.0,0.4,0.8,0.7333333333333333,1.0
24,10,2.5617514113298827,0.015321477428180574,0.6179668069536443,0.07374950969158862,0.10166627375806567,0.8245614035087719,6.8833074414675055,57.0,0.8571428571428571,0.4666666666666667,1.0,1.0
26,9,1.9364787200451974,0.007934336525307797,0.5929973791572403,0.04702667513742961,0.08220839769551866,1.25,7.6852028401790475,60.0,1.4,0.9333333333333333,1.4,1.2666666666666666
29,13,3.0752772383273204,0.015595075239398085,0.6390089012469151,0.09526540542425263,0.06939811142324544,1.4666666666666666,7.011639034341069,60.0,1.2,0.9333333333333333,1.7333333333333334,2.0
31,9,1.9647695178423343,0.006019151846785226,0.6141275049142905,0.06703823380315223,0.08350115946509723,1.0833333333333333,6.351357661512223,60.0,0.8,1.4,1.1333333333333333,1.0
32,13,3.0740821094865134,0.012585499316005472,0.6468880527136824,0.11035442855732476,0.10602015120249825,1.2372881355932204,4.830017954829945,59.0,1.3333333333333333,1.0,1.3333333333333333,1.2666666666666666
35,9,2.590822756446387,0.024350205198358413,0.6425970500517195,0.08131501583680274,0.09245087843353755,1.2,5.825768363114333,60.0,1.4,0.4666666666666667,1.0,1.9333333333333333
36,9,1.8630539964440118,0.004924760601915185,0.6001746146885603,0.05057405566759502,0.0507537056670814,0.9,10.055531520784852,60.0,1.2666666666666666,0.4,0.7333333333333333,1.2
37,10,2.5078236275924497,0.01039671682626539,0.6382321635604248,0.09045363690347259,0.10703380106542229,1.55,6.077557091490681,60.0,1.5333333333333334,1.2,1.6,1.8666666666666667
38,11,2.989039425454242,0.01121751025991792,0.6336129744973399,0.12501431273448063,0.13548648701502827,1.3166666666666667,5.0469294615572595,60.0,1.1333333333333333,1.2666666666666666,1.2666666666666666,1.6
40,13,3.5976628981804457,0.02106703146374829,0.6525354997359722,0.09006187379496147,0.13307017664019116,1.4655172413793103,6.911953891244942,58.0,1.1333333333333333,1.1333333333333333,1.7857142857142858,1.8571428571428572
41,11,3.2457372903022224,0.03173734610123119,0.6668839591470228,0.10305987071365041,0.09500069243084472,1.7666666666666666,6.5529573347403,60.0,2.0,1.2,2.0,1.8666666666666667
42,11,2.9936845966687895,0.016142270861833105,0.6465027555459476,0.08620542806118704,0.12179980924854111,1.0701754385964912,5.821695077317493,57.0,0.8333333333333334,1.1333333333333333,0.9333333333333333,1.3333333333333333
43,9,1.763118898927261,0.0038303693570451436,0.5982223653425917,0.05065898285198425,0.06398047827005415,1.15,5.638988928692609,60.0,1.0,0.6,1.2,1.8
45,9,2.1964528929955667,0.009028727770177838,0.6046915478854321,0.07604423855539057,0.10971198530631507,1.0166666666666666,5.468509653691495,60.0,0.4,1.2,1.2666666666666666,1.2
46,9,1.9807052158961276,0.004377564979480164,0.6095105808473489,0.07255580008100233,0.08346956897865036,1.0333333333333334,4.243498147790254,60.0,0.8,0.9333333333333333,1.4,1.0
48,9,2.235639389764184,0.016963064295485636,0.6295877378571524,0.04754811393288365,0.04834355950584087,1.1,6.714964056663127,60.0,0.8,1.0,0.9333333333333333,1.6666666666666667
49,12,3.753963148345228,0.016142270861833105,0.6566044831360148,0.19134663803677343,0.1452173719912787,1.3,5.159266024761176,60.0,0.8666666666666667,1.0,1.6,1.7333333333333334
50,10,3.4310004574622472,0.01012311901504788,0.6614052691977403,0.15976136752732334,0.20976450787454098,1.5666666666666667,5.736904774991397,60.0,1.6666666666666667,1.1333333333333333,1.9333333333333333,1.5333333333333334
52,10,2.753523493453802,0.01094391244870041,0.6385340650596127,0.09252610584250764,0.1226583524392646,1.45,5.439107110889403,60.0,1.5333333333333334,1.3333333333333333,1.7333333333333334,1.2
53,11,2.78074002203213,0.012311901504787962,0.639841640829084,0.1317836513390489,0.10029982572092304,1.35,5.6058292946286,60.0,1.2,1.1333333333333333,1.4666666666666666,1.6
54,9,2.1550479730219916,0.007113543091655267,0.6181492348361073,0.07834387445105331,0.09500658012454355,1.55,6.453673411981684,60.0,1.4666666666666666,1.0666666666666667,1.6666666666666667,2.0
55,9,2.5789255610447923,0.015321477428180574,0.6430612554554707,0.10688815151141398,0.1285855352218695,1.35,4.8458434974577855,60.0,1.0666666666666667,0.8666666666666667,1.8,1.6666666666666667
56,10,2.562132644221552,0.018331053351573187,0.6369783847031768,0.06151055622173553,0.06558305553929207,1.0,6.016243689744925,60.0,0.9333333333333333,0.8,1.2,1.0666666666666667
57,12,4.050854536716188,0.030095759233926128,0.6733291096860662,0.19148111708108967,0.16881890386649653,1.1833333333333333,7.703279486405355,60.0,0.5333333333333333,0.7333333333333333,1.8,1.6666666666666667
58,11,2.5797516285213917,0.018878248974008208,0.6418259856982549,0.053508801587905816,0.056347753863211725,0.6833333333333333,9.073064084895236,60.0,1.2,0.4,0.4666666666666667,0.6666666666666666
59,9,1.9335161282765627,0.004377564979480164,0.588424453524759,0.043338496908867034,0.06980737195997479,1.1166666666666667,6.566484926124682,60.0,0.9333333333333333,1.1333333333333333,1.0,1.4
61,11,3.5418524332151398,0.013406292749658003,0.6508387289605632,0.1996961877791566,0.17402851782646103,1.2833333333333334,5.347558280678976,60.0,0.8666666666666667,0.8,1.8,1.6666666666666667
62,12,3.1568983141918925,0.018057455540355677,0.6484351137339794,0.09627479721735308,0.07322254851830487,1.4166666666666667,7.239524278410437,60.0,1.4666666666666666,0.6666666666666666,1.8,1.7333333333333334
63,9,2.0533263395192405,0.01012311901504788,0.6138217560018583,0.04724395320476876,0.06817845585176058,1.1166666666666667,7.046935989294182,60.0,0.8,1.2,1.4666666666666666,1.0
64,9,1.9410701122424052,0.01121751025991792,0.6260083272637917,0.06406139550881733,0.050608668279418664,1.0833333333333333,4.954018182407103,60.0,1.1333333333333333,0.9333333333333333,0.8666666666666667,1.4
