node,intensity,n_answered,distance_to_class_mean,T_mean,T_answered,technology_mean,E_mean,E_answered,education_mean,S_mean,S_answered,ethics_society_mean,V_mean,V_answered,environment_mean,degree,strength,x,y
69,1.1016949152542372,59.0,5.7848118839959115,0.7857142857142857,14.0,0.7857142857142857,1.1333333333333333,15.0,1.1333333333333333,1.0666666666666667,15.0,1.0666666666666667,1.4,15.0,1.4,9,1.8987727267261088,0.24616217517131447,-0.39243303149245257
70,1.1166666666666667,60.0,4.6013103801009,0.8,15.0,0.8,1.0666666666666667,15.0,1.0666666666666667,1.6,15.0,1.6,1.0,15.0,1.0,10,2.324520867401435,0.39023368189893404,-0.14126251563884554
72,1.2,60.0,6.381367179048192,0.6666666666666666,15.0,0.6666666666666666,1.2,15.0,1.2,1.5333333333333334,15.0,1.5333333333333334,1.4,15.0,1.4,10,2.959005508263675,0.2893523965657986,-0.22871131143160237
74,1.3333333333333333,60.0,6.875983376632498,1.2666666666666666,15.0,1.2666666666666666,1.0666666666666667,15.0,1.0666666666666667,1.5333333333333334,15.0,1.5333333333333334,1.4666666666666666,15.0,1.4666666666666666,9,2.2527413105068095,-0.06594639261915611,0.6337855431713582
79,0.9111111111111111,45.0,5.514204695918431,1.0,15.0,1.0,0.7333333333333333,15.0,0.7333333333333333,1.0,15.0,1.0,,0.0,,12,3.3195805807456824,0.06657445095232084,-0.1935611635329424
80,1.15,60.0,5.817540837577427,0.9333333333333333,15.0,0.9333333333333333,0.7333333333333333,15.0,0.7333333333333333,1.7333333333333334,15.0,1.7333333333333334,1.2,15.0,1.2,9,2.373539715620785,0.10980176280659716,0.23564002149760443
81,1.5263157894736843,57.0,5.177359543687067,1.2142857142857142,14.0,1.2142857142857142,0.9230769230769231,13.0,0.9230769230769231,1.9333333333333333,15.0,1.9333333333333333,1.9333333333333333,15.0,1.9333333333333333,12,3.5393340397818873,-0.18623480262134517,0.6501940829051799
82,1.3166666666666667,60.0,6.385883927897576,1.0,15.0,1.0,0.7333333333333333,15.0,0.7333333333333333,1.5333333333333334,15.0,1.5333333333333334,2.0,15.0,2.0,11,3.0629868697823817,-0.39812816690865227,-0.5373180284014942
83,1.4666666666666666,60.0,5.357004425924776,1.4666666666666666,15.0,1.4666666666666666,0.9333333333333333,15.0,0.9333333333333333,1.7333333333333334,15.0,1.7333333333333334,1.7333333333333334,15.0,1.7333333333333334,9,2.725581153162322,-0.8440499823272213,0.21776684945255295
84,1.0338983050847457,59.0,8.4614502171931,0.5,14.0,0.5,0.8666666666666667,15.0,0.8666666666666667,0.7333333333333333,15.0,0.7333333333333333,2.0,15.0,2.0,9,1.9635290776442316,-0.3371570984847512,0.2689105090906617
85,0.75,60.0,8.866704625273147,0.4,15.0,0.4,0.26666666666666666,15.0,0.26666666666666666,1.0666666666666667,15.0,1.0666666666666667,1.2666666666666666,15.0,1.2666666666666666,9,2.2433656968671833,0.5357171495193327,0.7079041442810091
86,1.3333333333333333,60.0,7.168481929406974,1.0,15.0,1.0,0.9333333333333333,15.0,0.9333333333333333,1.6666666666666667,15.0,1.6666666666666667,1.7333333333333334,15.0,1.7333333333333334,10,3.214883705878756,-0.4270232124958408,0.7761015164304178
89,0.8166666666666667,60.0,8.936632690274717,0.5333333333333333,15.0,0.5333333333333333,0.8,15.0,0.8,0.4666666666666667,15.0,0.4666666666666667,1.4666666666666666,15.0,1.4666666666666666,10,2.2050686413447784,0.6227284279601,0.25227276500753476
90,0.9166666666666666,60.0,4.593568147036295,0.6,15.0,0.6,1.0666666666666667,15.0,1.0666666666666667,1.0,15.0,1.0,1.0,15.0,1.0,16,4.875207383246049,-0.40412528732781544,-0.05926916843262472
91,0.8333333333333334,60.0,4.185442118801164,0.6666666666666666,15.0,0.6666666666666666,0.7333333333333333,15.0,0.7333333333333333,0.9333333333333333,15.0,0.9333333333333333,1.0,15.0,1.0,12,3.475343660016323,0.05107793795566924,-0.8687705832275027
92,1.2678571428571428,56.0,5.5300238698446424,0.6153846153846154,13.0,0.6153846153846154,1.0769230769230769,13.0,1.0769230769230769,1.4666666666666666,15.0,1.4666666666666666,1.8,15.0,1.8,10,2.5933954169272315,0.5312122800072514,0.20519002578054762
