source,target,weight,distance
21,81,1.0000000000000002,-2.220446049250313e-16
50,91,1.0000000000000002,-2.220446049250313e-16
90,126,1.0000000000000002,-2.220446049250313e-16
110,126,1.0000000000000002,-2.220446049250313e-16
94,126,1.0000000000000002,-2.220446049250313e-16
90,94,1.0000000000000002,-2.220446049250313e-16
41,126,1.0000000000000002,-2.220446049250313e-16
90,110,1.0000000000000002,-2.220446049250313e-16
41,90,1.0000000000000002,-2.220446049250313e-16
41,94,1.0,0.0
41,110,1.0,0.0
94,110,1.0,0.0
21,62,0.9421605914759027,0.0578394085240973
62,81,0.9421605914759027,0.0578394085240973
17,105,0.8741241499115335,0.12587585008846647
14,99,0.8326967465808349,0.16730325341916508
18,99,0.8315056622134982,0.1684943377865018
61,86,0.8196955499985802,0.1803044500014198
92,104,0.8127098766366246,0.18729012336337536
50,69,0.8085973244606979,0.19140267553930213
69,91,0.8085973244606978,0.19140267553930224
40,108,0.8083350868629896,0.1916649131370104
54,114,0.7807051423605946,0.21929485763940537
50,105,0.777308097005068,0.22269190299493202
91,105,0.777308097005068,0.22269190299493202
20,36,0.7649063845902301,0.23509361540976992
37,58,0.7574563084654473,0.24254369153455269
12,40,0.7457588815761879,0.25424111842381214
81,90,0.7399185305026333,0.26008146949736666
81,126,0.7399185305026333,0.26008146949736666
21,90,0.7399185305026333,0.26008146949736666
21,126,0.7399185305026333,0.26008146949736666
81,94,0.739918530502633,0.260081469497367
81,110,0.739918530502633,0.260081469497367
21,110,0.739918530502633,0.260081469497367
21,41,0.739918530502633,0.260081469497367
21,94,0.739918530502633,0.260081469497367
41,81,0.739918530502633,0.260081469497367
38,125,0.7197382758922363,0.28026172410776373
72,91,0.7100148127070547,0.2899851872929453
50,72,0.7100148127070547,0.2899851872929453
14,18,0.7100057989855014,0.2899942010144986
26,116,0.7072762464967272,0.29272375350327284
14,69,0.7048517817753606,0.29514821822463944
74,117,0.7042235398233544,0.2957764601766456
41,108,0.6977243698480435,0.30227563015195646
108,126,0.6977243698480435,0.30227563015195646
108,110,0.6977243698480435,0.30227563015195646
94,108,0.6977243698480435,0.30227563015195646
90,108,0.6977243698480435,0.30227563015195646
69,105,0.6950831164539506,0.3049168835460494
42,105,0.6922746025277147,0.30772539747228533
17,69,0.6913520027275082,0.3086479972724918
17,50,0.6865788634561666,0.3134211365438334
17,91,0.6865788634561665,0.3134211365438335
48,117,0.6847306774064372,0.3152693225935628
49,85,0.6779190982012083,0.3220809017987917
82,103,0.6766358374522081,0.3233641625477919
22,90,0.6683750273455722,0.3316249726544278
22,126,0.6683750273455722,0.3316249726544278
22,41,0.6683750273455721,0.3316249726544279
22,94,0.6683750273455721,0.3316249726544279
22,110,0.6683750273455721,0.3316249726544279
74,113,0.6660160945775045,0.33398390542249545
62,94,0.6647193466500511,0.33528065334994894
62,110,0.6647193466500511,0.33528065334994894
41,62,0.6647193466500511,0.33528065334994894
62,90,0.664719346650051,0.33528065334994905
62,126,0.664719346650051,0.33528065334994905
66,103,0.6631782618617844,0.3368217381382156
13,46,0.6625427417821834,0.3374572582178166
32,103,0.6496114833399956,0.35038851666000437
101,126,0.6469903578396702,0.3530096421603298
90,101,0.6469903578396702,0.3530096421603298
101,110,0.6469903578396701,0.35300964216032993
94,101,0.6469903578396701,0.35300964216032993
41,101,0.6469903578396701,0.35300964216032993
12,86,0.6418001923755526,0.35819980762444736
65,86,0.6370040645421275,0.36299593545787245
14,17,0.6361991907420758,0.36380080925792424
31,54,0.6358792328130239,0.36412076718697606
21,57,0.6316971218987291,0.36830287810127094
57,81,0.6316971218987291,0.36830287810127094
35,114,0.6253788353062666,0.3746211646937334
66,67,0.6252764976757538,0.3747235023242462
22,99,0.6223899161202465,0.3776100838797535
57,62,0.6194278335762127,0.38057216642378733
48,74,0.6190855692292621,0.38091443077073794
63,83,0.6184338776286061,0.38156612237139387
56,63,0.6156302515610278,0.3843697484389722
89,117,0.6124535359863915,0.3875464640136085
74,89,0.6120604832215862,0.38793951677841376
40,86,0.6074911621148738,0.39250883788512625
53,80,0.6063471929711036,0.3936528070288964
80,102,0.605880107988345,0.394119892011655
114,125,0.6038823299116639,0.3961176700883361
99,102,0.602138448308172,0.397861551691828
89,113,0.5993049795009908,0.4006950204990092
40,41,0.5948990599609024,0.4051009400390976
40,94,0.5948990599609024,0.4051009400390976
40,110,0.5948990599609024,0.4051009400390976
40,90,0.5948990599609022,0.4051009400390978
40,126,0.5948990599609022,0.4051009400390978
65,102,0.5944068325602859,0.4055931674397141
55,92,0.5935737920327463,0.4064262079672537
42,54,0.5934812670195697,0.4065187329804303
55,104,0.5931684468749802,0.40683155312501984
52,89,0.5915036877239721,0.4084963122760279
50,57,0.5912216640537742,0.4087783359462258
57,91,0.5912216640537741,0.4087783359462259
19,67,0.5908485479281961,0.4091514520718039
35,64,0.5878148053746017,0.41218519462539827
35,125,0.5854765099725646,0.4145234900274354
37,84,0.585447833220447,0.414552166779553
22,80,0.5788985904889755,0.4211014095110245
22,81,0.5761156127850341,0.4238843872149659
21,22,0.5761156127850341,0.4238843872149659
22,102,0.5757312655864142,0.4242687344135858
108,121,0.5741216482193823,0.4258783517806177
116,120,0.5732633705210266,0.4267366294789734
12,92,0.5728924512498954,0.4271075487501046
101,119,0.5715551278867437,0.4284448721132563
19,85,0.5707335556415296,0.4292664443584704
17,42,0.5681168127010898,0.4318831872989102
63,102,0.5663981228128164,0.43360187718718357
67,85,0.5632044876052615,0.43679551239473846
81,95,0.5622741183484857,0.43772588165151427
21,95,0.5622741183484857,0.43772588165151427
43,49,0.5619236747482229,0.4380763252517771
56,83,0.5522111135938912,0.4477888864061088
116,118,0.5510259813478573,0.4489740186521427
19,37,0.5484205354722288,0.4515794645277712
32,105,0.5482577536581629,0.45174224634183713
43,89,0.5477359826788831,0.4522640173211169
54,67,0.547359401092109,0.452640598907891
12,61,0.5458585017323128,0.45414149826768724
24,84,0.5441818031908106,0.45581819680918945
13,29,0.5441799509260339,0.4558200490739661
67,125,0.5426224055990737,0.4573775944009263
38,64,0.5425501907152697,0.45744980928473034
31,66,0.5415404884229434,0.45845951157705656
81,101,0.5392937708326744,0.4607062291673256
21,101,0.5392937708326744,0.4607062291673256
72,82,0.5364799010816194,0.46352009891838064
24,61,0.5356143589906989,0.46438564100930113
35,48,0.5316997343019243,0.4683002656980757
29,46,0.5308594411256161,0.4691405588743839
91,92,0.5298947132946434,0.47010528670535656
50,92,0.5298947132946432,0.4701052867053568
66,121,0.5259404764560186,0.4740595235439814
66,82,0.5257179661008596,0.47428203389914037
62,95,0.5245359257511552,0.47546407424884485
50,95,0.5235106315803236,0.4764893684196764
91,95,0.5235106315803235,0.4764893684196765
113,117,0.5231684118911961,0.4768315881088039
37,104,0.5219899605431217,0.47801003945687826
41,80,0.5219735808705951,0.4780264191294049
80,110,0.5219735808705951,0.4780264191294049
80,94,0.5219735808705951,0.4780264191294049
80,126,0.5219735808705948,0.47802641912940524
80,90,0.5219735808705948,0.47802641912940524
17,103,0.5209629125274036,0.47903708747259643
95,119,0.5205135861326907,0.4794864138673093
66,84,0.5191364782264539,0.4808635217735461
42,45,0.5184578732258572,0.48154212677414276
62,108,0.5174241457212322,0.4825758542787678
12,108,0.5169056206419744,0.48309437935802557
32,82,0.5152166351684696,0.4847833648315304
57,69,0.5150035015279666,0.4849964984720334
101,109,0.5149257116288717,0.4850742883711283
17,32,0.513807313820198,0.48619268617980205
118,120,0.5136532561296202,0.4863467438703798
40,61,0.5116775710163162,0.48832242898368383
57,95,0.5111923541633063,0.48880764583669367
12,55,0.5109560360507394,0.48904396394926064
35,38,0.5104133237982176,0.4895866762017824
86,109,0.5099887556763082,0.4900112443236918
16,22,0.5083573372868773,0.49164266271312274
18,102,0.5046808723093342,0.4953191276906658
16,49,0.5035925444297337,0.49640745557026633
48,83,0.5031220787274147,0.49687792127258534
16,21,0.49903720580600996,0.50096279419399
16,81,0.49903720580600996,0.50096279419399
37,103,0.4964489662461499,0.50355103375385
14,105,0.4960585170375745,0.5039414829624256
48,89,0.4956408540799832,0.5043591459200167
70,118,0.4951371441280181,0.5048628558719819
66,85,0.4948272473490977,0.5051727526509022
72,95,0.49453261165933704,0.505467388340663
64,125,0.493693363796415,0.5063066362035851
52,74,0.49363000054494527,0.5063699994550548
35,54,0.492578441277652,0.5074215587223481
113,115,0.4914439353242326,0.5085560646757674
67,114,0.4896217404819621,0.510378259518038
29,74,0.487964476542946,0.5120355234570539
32,66,0.4862670539734435,0.5137329460265565
70,116,0.48546009079973096,0.514539909200269
69,95,0.48394586470339196,0.516054135296608
67,121,0.4830819067221626,0.5169180932778374
40,80,0.4821207566672355,0.5178792433327646
16,95,0.48188485299979616,0.5181151470002039
38,67,0.4808468019532139,0.5191531980467861
74,115,0.4798411631138833,0.5201588368861167
17,66,0.4797626414025036,0.5202373585974964
17,31,0.479478538386,0.5205214616139999
46,62,0.47923294434105185,0.5207670556589481
84,103,0.4791439569273669,0.5208560430726331
21,119,0.4791102115776102,0.5208897884223898
81,119,0.4791102115776102,0.5208897884223898
55,86,0.476825909157684,0.5231740908423159
26,89,0.4767360574485981,0.5232639425514019
22,111,0.4760774899856589,0.5239225100143411
35,83,0.47597315780306904,0.524026842196931
53,86,0.47561971082484206,0.5243802891751579
46,108,0.47405722047499615,0.5259427795250038
38,53,0.47399232750389164,0.5260076724961084
54,66,0.47350570730942343,0.5264942926905766
26,115,0.4715625091260368,0.5284374908739632
29,35,0.47074683903011044,0.5292531609698896
62,119,0.4696182923552328,0.5303817076447672
32,91,0.46830437454178797,0.531695625458212
