source,target,rho,abs_rho
E13,S07,0.17247581517925326,0.17247581517925326
T05,T11,0.17231451165687472,0.17231451165687472
T15,V13,0.171932852565096,0.171932852565096
T09,V07,0.17190296114445774,0.17190296114445774
S01,V01,0.17166050868014934,0.17166050868014934
V02,V09,0.171629568325161,0.171629568325161
T06,S14,0.171527783488694,0.171527783488694
T14,V14,0.17152443132428818,0.17152443132428818
E01,V03,0.1713409413459117,0.1713409413459117
T03,S08,0.1711751181587275,0.1711751181587275
E03,S04,-0.1708134476281085,0.1708134476281085
E04,S09,0.17059600628875132,0.17059600628875132
V01,V10,0.17048947711295973,0.17048947711295973
T14,S14,0.1702362690442702,0.1702362690442702
E07,S04,0.1701733867672291,0.1701733867672291
S03,V08,0.17004820750343502,0.17004820750343502
E04,V13,0.17003641784402465,0.17003641784402465
S08,V07,0.16970977967848047,0.16970977967848047
T04,S03,0.16964427445394314,0.16964427445394314
S04,V08,0.1695725211056206,0.1695725211056206
T15,V02,0.16936868658894594,0.16936868658894594
S12,V01,0.16930182186347598,0.16930182186347598
E08,S07,0.16919128983847112,0.16919128983847112
S05,V04,0.1690910236452799,0.1690910236452799
T07,S02,0.16878078747643588,0.16878078747643588
S11,V03,0.16876312124869974,0.16876312124869974
T04,V05,-0.16853730620894228,0.16853730620894228
T12,E03,-0.16809692801347836,0.16809692801347836
T12,V07,0.16798488577978204,0.16798488577978204
T04,T14,0.16797721326846293,0.16797721326846293
S04,S15,0.16766075693716664,0.16766075693716664
E03,V14,-0.16756320164875518,0.16756320164875518
T11,T15,0.1672525923846447,0.1672525923846447
E12,V06,0.1670403152740594,0.1670403152740594
E04,S03,0.16687112138619634,0.16687112138619634
E14,V12,0.16682223069494423,0.16682223069494423
E01,S09,0.16678615731561386,0.16678615731561386
E08,S08,0.16654988299868767,0.16654988299868767
T07,V12,0.16625225909010677,0.16625225909010677
T02,S08,0.16543730729647987,0.16543730729647987
S13,V01,0.16507229038621338,0.16507229038621338
E01,V05,0.16502014771507972,0.16502014771507972
T04,T06,0.16484603407113374,0.16484603407113374
T10,E05,0.164844336457981,0.164844336457981
S05,V10,0.16462364297446686,0.16462364297446686
E11,V11,0.16448972591172778,0.16448972591172778
T14,V01,0.1643455657453762,0.1643455657453762
E07,S07,0.16429614790634572,0.16429614790634572
S02,V03,0.16421409168190615,0.16421409168190615
E07,S12,0.16407191022143247,0.16407191022143247
E04,V14,0.163954944778638,0.163954944778638
T04,S14,0.16386181270753714,0.16386181270753714
T02,E03,-0.1636146731999971,0.1636146731999971
S11,V10,0.1636080521282725,0.1636080521282725
E09,V15,0.1635118701098896,0.1635118701098896
T11,S06,0.16333815693687503,0.16333815693687503
T06,V07,0.16326417172273197,0.16326417172273197
T01,V12,-0.16324976206939862,0.16324976206939862
E06,E10,0.163200658231058,0.163200658231058
E09,S04,0.16302736973485474,0.16302736973485474
S01,V08,0.16249611263201144,0.16249611263201144
E13,V08,0.16232515130429995,0.16232515130429995
E06,E09,0.16228545566470245,0.16228545566470245
E03,V02,-0.16211522380485716,0.16211522380485716
T09,V14,0.1619701274633096,0.1619701274633096
T03,T10,0.16181113642691128,0.16181113642691128
S14,V01,0.1617405614693344,0.1617405614693344
T14,V11,0.16152083277812113,0.16152083277812113
T12,S01,0.16138038841654115,0.16138038841654115
E14,S03,0.16110446089483516,0.16110446089483516
E08,E14,0.1605521905195168,0.1605521905195168
T05,T12,0.16045756503192685,0.16045756503192685
E05,E08,0.16036324614229844,0.16036324614229844
E15,V04,0.16017492172366374,0.16017492172366374
E04,S14,0.1599930293382358,0.1599930293382358
T04,V03,0.15958957632965515,0.15958957632965515
E01,E03,-0.1595081409938038,0.1595081409938038
